                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.0000000000                       -18.3689945658                        59.3976803865
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.1000000000                       -18.2206845289                        57.9231447785
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.2000000000                       -17.7828868274                        53.5802100731
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.3000000000                       -17.0766844898                        46.6037398150
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.4000000000                       -16.1344041275                        37.3571776510
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.5000000000                       -14.9967813049                        26.2991546261
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.6000000000                       -13.7093963668                        13.9433673184
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.7000000000                       -12.3190724900                         0.8187600279
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.8000000000                       -10.8709025164                       -12.5648777955
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.9000000000                        -9.4060263549                       -25.7437693935
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        1.0000000000                        -7.9601211312                       -38.3184468183
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.0000000000                       -48.7233533592                      1091.0961568419
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.1000000000                       -48.5029871259                      1087.6301042112
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.2000000000                       -47.8501352387                      1077.3408706210
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.3000000000                       -46.7893150905                      1060.5574435989
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.4000000000                       -45.3584372782                      1037.7894232644
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.5000000000                       -43.6055584003                      1009.6888916530
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.6000000000                       -41.5853747401                       977.0110591882
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.7000000000                       -39.3553677929                       940.5659947801
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.8000000000                       -36.9724630047                       901.1754105203
