                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                      -109.1422257184
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                      -105.0169418980
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                      -100.3079088884
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                       -95.1161307252
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                       -89.5571853869
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                       -83.7518166395
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0133416028
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0509962863
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1062960785
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1695413691
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2297717550
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.2766332604
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3019943261
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.3009816666
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.2724031242
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.2185458526
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
