                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                      -125.1334977839
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                      -124.6825681848
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                      -123.3341614355
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                      -121.1051754248
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                      -118.0279476284
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                      -114.1551341684
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                      -109.5633087269
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                      -104.3521438412
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                       -98.6433814392
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                       -92.5725821241
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                       -86.2776771945
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0150076690
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0574495744
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1200589594
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1922529977
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2620513273
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.3181063456
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3514630376
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.3566849186
