                wave       xi      mxi                   q    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI
ich-lo-cut=3-no3nf-E        0        0        0.2000000000                       -28.6786028091                       -28.6804903406                       -28.6808653620                       -28.6786217928                       -28.6805065634                       -28.6808801549
ich-lo-cut=3-no3nf-E        0        0        0.3000000000                       -27.7906263563                       -27.7924526559                       -27.7928124140                       -27.7906410332                       -27.7924652480                       -27.7928239217
ich-lo-cut=3-no3nf-E        0        0        0.4000000000                       -26.5987344151                       -26.6004781740                       -26.6008177486                       -26.5987442387                       -26.6004866680                       -26.6008255434
ich-lo-cut=3-no3nf-E        0        0        0.5000000000                       -25.1481218440                       -25.1497650437                       -25.1500806067                       -25.1481271483                       -25.1497697106                       -25.1500849281
ich-lo-cut=3-no3nf-E        0        0        0.6000000000                       -23.4896976133                       -23.4912263726                       -23.4915153416                       -23.4896994440                       -23.4912280823                       -23.4915169705
ich-lo-cut=3-no3nf-E        0        0        0.7000000000                       -21.6764638805                       -21.6778689667                       -21.6781300262                       -21.6764636288                       -21.6778688823                       -21.6781300106
ich-lo-cut=3-no3nf-E        0        0        0.8000000000                       -19.7602876352                       -19.7615645393                       -19.7617975374                       -19.7602866136                       -19.7615637625                       -19.7617968722
ich-lo-cut=3-no3nf-E        0        0        0.9000000000                       -17.7893667648                       -17.7905153568                       -17.7907211108                       -17.7893658858                       -17.7905146592                       -17.7907204963
ich-lo-cut=3-no3nf-E        0        0        1.0000000000                       -15.8065445369                       -15.8075684094                       -15.8077484686                       -15.8065441945                       -15.8075681324                       -15.8077482196
ich-lo-cut=4-no3nf-E        0        0        0.0000000000                       -27.6209051188                       -27.6219939455                       -27.6221927010                       -27.6209143242                       -27.6220018279                       -27.6221999127
ich-lo-cut=4-no3nf-E        0        0        0.1000000000                       -27.4413804040                       -27.4424613305                       -27.4426582737                       -27.4413891423                       -27.4424688176                       -27.4426651260
ich-lo-cut=4-no3nf-E        0        0        0.2000000000                       -26.9105231036                       -26.9115806393                       -26.9117722544                       -26.9105305395                       -26.9115870240                       -26.9117781037
ich-lo-cut=4-no3nf-E        0        0        0.3000000000                       -26.0512897226                       -26.0523093477                       -26.0524924429                       -26.0512952992                       -26.0523141568                       -26.0524968576
ich-lo-cut=4-no3nf-E        0        0        0.4000000000                       -24.8992499888                       -24.9002188144                       -24.9003907098                       -24.8992535430                       -24.9002219062                       -24.9003935589
ich-lo-cut=4-no3nf-E        0        0        0.5000000000                       -23.4991754483                       -23.5000828501                       -23.5002415213                       -23.4991772171                       -23.5000844205                       -23.5002429809
ich-lo-cut=4-no3nf-E        0        0        0.6000000000                       -21.9014274765                       -21.9022655948                       -21.9024097484                       -21.9014279813                       -21.9022660808                       -21.9024102143
ich-lo-cut=4-no3nf-E        0        0        0.7000000000                       -20.1583246057                       -20.1590886010                       -20.1592176710                       -20.1583244558                       -20.1590885155                       -20.1592176090
ich-lo-cut=4-no3nf-E        0        0        0.8000000000                       -18.3209036898                       -18.3215917059                       -18.3217057775                       -18.3209033879                       -18.3215914745                       -18.3217055755
ich-lo-cut=4-no3nf-E        0        0        0.9000000000                       -16.4363943633                       -16.4370072274                       -16.4371069127                       -16.4363941916                       -16.4370070921                       -16.4371067928
ich-lo-cut=4-no3nf-E        0        0        1.0000000000                       -14.5465616541                       -14.5471023920                       -14.5471886848                       -14.5465616694                       -14.5471024065                       -14.5471886988
ich-lo-cut=5-no3nf-E        0        0        0.0000000000                       -25.5525509079                       -25.5531677496                       -25.5532706963                       -25.5525546723                       -25.5531709866                       -25.5532736708
ich-lo-cut=5-no3nf-E        0        0        0.1000000000                       -25.3796468240                       -25.3802587523                       -25.3803606789                       -25.3796503785                       -25.3802618109                       -25.3803634902
ich-lo-cut=5-no3nf-E        0        0        0.2000000000                       -24.8685784806                       -24.8691758911                       -24.8692748244                       -24.8685814560                       -24.8691784571                       -24.8692771850
ich-lo-cut=5-no3nf-E        0        0        0.3000000000                       -24.0420973715                       -24.0426713454                       -24.0427655113                       -24.0420995378                       -24.0426732223                       -24.0427672409
ich-lo-cut=5-no3nf-E        0        0        0.4000000000                       -22.9353775481                       -22.9359202963                       -22.9360082310                       -22.9353788650                       -22.9359214480                       -22.9360092958
ich-lo-cut=5-no3nf-E        0        0        0.5000000000                       -21.5926379436                       -21.5931432092                       -21.5932238398                       -21.5926385496                       -21.5931437518                       -21.5932243453
ich-lo-cut=5-no3nf-E        0        0        0.6000000000                       -20.0635318485                       -20.0639951990                       -20.0640678805                       -20.0635319920                       -20.0639953418                       -20.0640680178
ich-lo-cut=5-no3nf-E        0        0        0.7000000000                       -18.3995086219                       -18.3999275674                       -18.3999920713                       -18.3995085608                       -18.3999275293                       -18.3999920408
ich-lo-cut=5-no3nf-E        0        0        0.8000000000                       -16.6505718216                       -16.6509457406                       -16.6510022025                       -16.6505717404                       -16.6509456791                       -16.6510021489
ich-lo-cut=5-no3nf-E        0        0        0.9000000000                       -14.8627729359                       -14.8631028358                       -14.8631516763                       -14.8627729121                       -14.8631028188                       -14.8631516626
ich-lo-cut=5-no3nf-E        0        0        1.0000000000                       -13.0765909991                       -13.0768791713                       -13.0769210076                       -13.0765910222                       -13.0768791925                       -13.0769210293
ich-n2lo-cut=1-no3nf        0        0        0.0000000000                         3.3713145647                         3.3697963237                         3.3694073825                         3.3712178919                         3.3697166435                         3.3693379122
ich-n2lo-cut=1-no3nf        0        0        0.1000000000                         3.4704937771                         3.4689754817                         3.4685865566                         3.4703974847                         3.4688960966                         3.4685173220
ich-n2lo-cut=1-no3nf        0        0        0.2000000000                         3.7618667485                         3.7603494250                         3.7599609066                         3.7617719463                         3.7602712154                         3.7598926379
ich-n2lo-cut=1-no3nf        0        0        0.3000000000                         4.2273224512                         4.2258099871                         4.2254231601                         4.2272310932                         4.2257345361                         4.2253572142
ich-n2lo-cut=1-no3nf        0        0        0.4000000000                         4.8385436988                         4.8370435956                         4.8366608345                         4.8384585934                         4.8369731995                         4.8365992063
ich-n2lo-cut=1-no3nf        0        0        0.5000000000                         5.5605172280                         5.5590403289                         5.5586649539                         5.5604415531                         5.5589775976                         5.5586099232
ich-n2lo-cut=1-no3nf        0        0        0.6000000000                         6.3549398463                         6.3534991535                         6.3531350042                         6.3548764248                         6.3534464142                         6.3530886103
ich-n2lo-cut=1-no3nf        0        0        0.7000000000                         7.1833748398                         7.1819838885                         7.1816347875                         7.1833254942                         7.1819426537                         7.1815983626
ich-n2lo-cut=1-no3nf        0        0        0.8000000000                         8.0098487446                         8.0085200354                         8.0081893126                         8.0098139437                         8.0084907124                         8.0081632277
ich-n2lo-cut=1-no3nf        0        0        0.9000000000                         8.8028197807                         8.8015636009                         8.8012537783                         8.8027986273                         8.8015454805                         8.8012374354
ich-n2lo-cut=1-no3nf        0        0        1.0000000000                         9.5363893916                         9.5352131507                         9.5349258100                         9.5363798764                         9.5352046133                         9.5349178223
ich-n2lo-cut=2-no3nf        0        0        0.0000000000                        -0.5038877765                        -0.5056815012                        -0.5060782574                        -0.5039304533                        -0.5057172596                        -0.5061101280
ich-n2lo-cut=2-no3nf        0        0        0.1000000000                        -0.3968150093                        -0.3986002832                        -0.3989947439                        -0.3968566596                        -0.3986351874                        -0.3990258541
ich-n2lo-cut=2-no3nf        0        0        0.2000000000                        -0.0818783285                        -0.0836381669                        -0.0840257496                        -0.0819169594                        -0.0836705580                        -0.0840546233
ich-n2lo-cut=2-no3nf        0        0        0.3000000000                         0.4223896505                         0.4206722505                         0.4202960422                         0.4223558080                         0.4206438450                         0.4202707156
ich-n2lo-cut=2-no3nf        0        0        0.4000000000                         1.0870923812                         1.0854340697                         1.0850734899                         1.0870646346                         1.0854107388                         1.0850526787
ich-n2lo-cut=2-no3nf        0        0        0.5000000000                         1.8764194833                         1.8748358163                         1.8744946467                         1.8763984390                         1.8748180662                         1.8744787984
ich-n2lo-cut=2-no3nf        0        0        0.6000000000                         2.7510520941                         2.7495565980                         2.7492379010                         2.7510375495                         2.7495442626                         2.7492268638
ich-n2lo-cut=2-no3nf        0        0        0.7000000000                         3.6713640104                         3.6699673269                         3.6696732590                         3.6713550589                         3.6699596560                         3.6696663618
ich-n2lo-cut=2-no3nf        0        0        0.8000000000                         4.6000870726                         4.5987964103                         4.5985281467                         4.6000823902                         4.5987923074                         4.5985244127
ich-n2lo-cut=2-no3nf        0        0        0.9000000000                         5.5043255271                         5.5031445026                         5.5029022770                         5.5043237180                         5.5031428121                         5.5029006804
ich-n2lo-cut=2-no3nf        0        0        1.0000000000                         6.3567959488                         6.3557247881                         6.3555080206                         6.3567958222                         6.3557245232                         6.3555076887
ich-n2lo-cut=3-no3nf        0        0        0.0000000000                        -4.4395737143                        -4.4412692554                        -4.4416186688                        -4.4395977859                        -4.4412896809                        -4.4416371652
ich-n2lo-cut=3-no3nf        0        0        0.1000000000                        -4.3240975654                        -4.3257824594                        -4.3261291451                        -4.3241206687                        -4.3258020717                        -4.3261469090
ich-n2lo-cut=3-no3nf        0        0        0.2000000000                        -3.9840864457                        -3.9857397022                        -3.9860783291                        -3.9841067979                        -3.9857570037                        -3.9860940109
ich-n2lo-cut=3-no3nf        0        0        0.3000000000                        -3.4385369725                        -3.4401386145                        -3.4404642380                        -3.4385532418                        -3.4401524842                        -3.4404768263
ich-n2lo-cut=3-no3nf        0        0        0.4000000000                        -2.7169908569                        -2.7185226695                        -2.7188309802                        -2.7170024009                        -2.7185325632                        -2.7188399821
ich-n2lo-cut=3-no3nf        0        0        0.5000000000                        -1.8561387202                        -1.8575850938                        -1.8578726456                        -1.8561456889                        -1.8575911303                        -1.8578781650
ich-n2lo-cut=3-no3nf        0        0        0.6000000000                        -0.8964128750                        -0.8977615638                        -0.8980259324                        -0.8964161101                        -0.8977644419                        -0.8980285952
ich-n2lo-cut=3-no3nf        0        0        0.7000000000                         0.1212603140                         0.1200176973                         0.1197778619                         0.1212595687                         0.1200169411                         0.1197771249
ich-n2lo-cut=3-no3nf        0        0        0.8000000000                         1.1581983020                         1.1570661619                         1.1568511939                         1.1581987747                         1.1570664643                         1.1568514269
ich-n2lo-cut=3-no3nf        0        0        0.9000000000                         2.1800275545                         2.1790065455                         2.1788159091                         2.1800282609                         2.1790070801                         2.1788163676
ich-n2lo-cut=3-no3nf        0        0        1.0000000000                         3.1579568217                         3.1570443567                         3.1568768386                         3.1579572193                         3.1570446629                         3.1568771054
ich-n2lo-cut=4-no3nf        0        0        0.0000000000                        -8.0784561663                        -8.0798899374                        -8.0801675559                        -8.0784705675                        -8.0799022581                        -8.0801788220
ich-n2lo-cut=4-no3nf        0        0        0.1000000000                        -7.9549128629                        -7.9563364580                        -7.9566116255                        -7.9549265370                        -7.9563481650                        -7.9566223351
ich-n2lo-cut=4-no3nf        0        0        0.2000000000                        -7.5908377736                        -7.5922312526                        -7.5924992102                        -7.5908494128                        -7.5922412413                        -7.5925083611
ich-n2lo-cut=4-no3nf        0        0        0.3000000000                        -7.0056826255                        -7.0070273314                        -7.0072837480                        -7.0056913354                        -7.0070348438                        -7.0072906510
ich-n2lo-cut=4-no3nf        0        0        0.4000000000                        -6.2296278380                        -6.2309072093                        -6.2311484256                        -6.2296333176                        -6.2309119860                        -6.2311528416
ich-n2lo-cut=4-no3nf        0        0        0.5000000000                        -5.3002308239                        -5.3014311844                        -5.3016544060                        -5.3002333950                        -5.3014334894                        -5.3016565700
ich-n2lo-cut=4-no3nf        0        0        0.6000000000                        -4.2590161338                        -4.2601273010                        -4.2603307040                        -4.2590165920                        -4.2601277979                        -4.2603312133
ich-n2lo-cut=4-no3nf        0        0        0.7000000000                        -3.1481844743                        -3.1492000614                        -3.1493827936                        -3.1481838068                        -3.1491995775                        -3.1493823952
ich-n2lo-cut=4-no3nf        0        0        0.8000000000                        -2.0078054682                        -2.0087228300                        -2.0088849152                        -2.0078045509                        -2.0087221027                        -2.0088842769
ich-n2lo-cut=4-no3nf        0        0        0.9000000000                        -0.8737016067                        -0.8745214736                        -0.8746636523                        -0.8737009959                        -0.8745209755                        -0.8746632048
ich-n2lo-cut=4-no3nf        0        0        1.0000000000                         0.2238592357                         0.2231333389                         0.2230097973                         0.2238593560                         0.2231334447                         0.2230099014
ich-n2lo-cut=5-no3nf        0        0        0.0000000000                       -11.2923125558                       -11.2934532496                       -11.2936605216                       -11.2923210834                       -11.2934605905                       -11.2936672803
ich-n2lo-cut=5-no3nf        0        0        0.1000000000                       -11.1613228300                       -11.1624547662                       -11.1626600613                       -11.1613308641                       -11.1624616888                       -11.1626664386
ich-n2lo-cut=5-no3nf        0        0        0.2000000000                       -10.7750417630                       -10.7761478345                       -10.7763473274                       -10.7750484306                       -10.7761535979                       -10.7763526476
ich-n2lo-cut=5-no3nf        0        0        0.3000000000                       -10.1533506365                       -10.1544149807                       -10.1546052260                       -10.1533553793                       -10.1544191093                       -10.1546090536
ich-n2lo-cut=5-no3nf        0        0        0.4000000000                        -9.3270393905                        -9.3280481420                        -9.3282262805                        -9.3270420861                        -9.3280505274                        -9.3282285137
ich-n2lo-cut=5-no3nf        0        0        0.5000000000                        -8.3344903354                        -8.3354323056                        -8.3355962170                        -8.3344912909                        -8.3354332022                        -8.3355970841
ich-n2lo-cut=5-no3nf        0        0        0.6000000000                        -7.2182647292                        -7.2191318857                        -7.2192802591                        -7.2182645416                        -7.2191317940                        -7.2192802130
ich-n2lo-cut=5-no3nf        0        0        0.7000000000                        -6.0217716371                        -6.0225592903                        -6.0226916055                        -6.0217709724                        -6.0225587713                        -6.0226911559
ich-n2lo-cut=5-no3nf        0        0        0.8000000000                        -4.7863963400                        -4.7871030154                        -4.7872194474                        -4.7863957244                        -4.7871025151                        -4.7872190009
ich-n2lo-cut=5-no3nf        0        0        0.9000000000                        -3.5493353856                        -3.5499624344                        -3.5500637101                        -3.5493350895                        -3.5499621860                        -3.5500634821
ich-n2lo-cut=5-no3nf        0        0        1.0000000000                        -2.3422554215                        -2.3428064632                        -2.3428937015                        -2.3422554647                        -2.3428064905                        -2.3428937179
ich-n3lo-cut=1-no3nf        0        0        0.0000000000                         0.3354491241                         0.3202664092                         0.3133872481                         0.3326984060                         0.3179974629                         0.3114052587
ich-n3lo-cut=1-no3nf        0        0        0.1000000000                         0.4361262710                         0.4209488038                         0.4140881553                         0.4334099744                         0.4187078241                         0.4121300448
ich-n3lo-cut=1-no3nf        0        0        0.2000000000                         0.7319001717                         0.7167453844                         0.7099422345                         0.7292893086                         0.7145901091                         0.7080574062
