                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.0000000000                         1.3475426312
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.1000000000                         1.3576651197
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.2000000000                         1.3865285549
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.3000000000                         1.4299193305
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.4000000000                         1.4816174593
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.5000000000                         1.5344024028
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.6000000000                         1.5811190133
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.7000000000                         1.6155819992
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.8000000000                         1.6332447935
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.9000000000                         1.6314715237
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        1.0000000000                         1.6094551961
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0014475303
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0055102309
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0113969893
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0179447031
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0238119521
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0276851347
